App info	Informace o aplikaci
Version	Verze
Settings	Nastavení
Template list URL	Adresa seznamu šablon
Keyboard Shortcuts	Klávesové zkratky
General Keyboard Shortcuts	Obecné klávesové zkratky
Undo	Vrátit změny
Ctrl + Z	Ctrl + Z
Redo	Opakovat vrácené
Ctrl + Y	Ctrl + Y
Cut	Vyjmout
Ctrl + X	Ctrl + X
Paste as unformatted text	Vložit jako neformátovaný text
Ctrl + Alt + Shift + V	Ctrl + Alt + Shift + V
Print (Download as PDF)	Tisk (stáhnout jako PDF)
Ctrl + P	Ctrl + P
Display the Keyboard shortcuts help	Zobrazit nápovědu pro klávesové zkratky
Ctrl + Shift + ?	Ctrl + Shift + ?
Text formatting	Formátování textu
Bold	Tučné
Ctrl + B	Ctrl + B
Italic	Kurzíva
Ctrl + I	Ctrl + I
Underline	Podtržené
Ctrl + U	Ctrl + U
Double Underline	Dvojité podtržení
Ctrl + D	Ctrl + D
Strikethrough	Přeškrtnuté
Ctrl + Alt + 5	Ctrl + Alt + 5
Superscript	Horní index
Ctrl + Shift + P	Ctrl + Shift + P
Subscript	Dolní index
Ctrl + Shift + B	Ctrl + Shift + B
Remove direct formatting	Odstranit přímé formátování
Ctrl + M	Ctrl + M
Paragraph formatting	Formátování odstavce
Align Center	Zarovnat na střed
Ctrl + E	Ctrl + E
Align Left	Zarovnat vlevo
Ctrl + L	Ctrl + L
Align Right	Zarovnat vpravo
Ctrl + R	Ctrl + R
Justify	Do bloku
Ctrl + J	Ctrl + J
Apply Default paragraph style	Použít výchozí styl odstavce
Ctrl + 0	Ctrl + 0
Apply Heading 1 paragraph style	Použít styl odstavce Nadpis 1
Ctrl + 1	Ctrl + 1
Apply Heading 2 paragraph style	Použít styl odstavce Nadpis 2
Ctrl + 2	Ctrl + 2
Apply Heading 3 paragraph style	Použít styl odstavce Nadpis 3
Ctrl + 3	Ctrl + 3
Apply Heading 4 paragraph style	Použít styl odstavce Nadpis 4
Ctrl + 4	Ctrl + 4
Apply Heading 5 paragraph style	Použít styl odstavce Nadpis 5
Ctrl + 5	Ctrl + 5
Text selection and navigation in document	Výběr textu a navigace v dokumentu
Select All	Vybrat vše
Ctrl + A	Ctrl + A
Move cursor to the left	Přesunout kurzor doleva
Arrow Left	Šipka vlevo
Move cursor with selection to the left	Přesunout kurzor doleva a vybrat při tom text
Shift + Arrow Left	Shift + šipka vlevo
Go to beginning of a word	Přejít na začátek slova
Ctrl + Arrow Left	Ctrl + šipka vlevo
Select to the left word by word	Vybírat jednotlivá slova směrem vlevo
Ctrl + Shift + Arrow Left	Ctrl + Shift + šipka vlevo
Move cursor to the right	Přesunout kurzor doprava
Arrow Right	Šipka vpravo
Move cursor with selection to the right	Přesunout kurzor doprava a vybrat při tom text
Shift + Arrow Right	Shift + šipka vpravo
Go to start of the next word	Přejít na začátek dalšího slova
Ctrl + Arrow Right	Ctrl + šipka vpravo
Select to the right word by word	Vybírat jednotlivá slova směrem vpravo
Ctrl + Shift + Arrow Right	Ctrl + Shift + šipka vpravo
Move cursor up one line	Přesunout kurzor o jeden řádek nahoru
Arrow Up	Šipka nahoru
Select lines in upwards direction	Vybrat řádky směrem nahoru
Shift + Arrow Up	Shift + šipka nahoru
Move cursor to beginning of the previous paragraph	Přesunout kurzor na začátek předchozího odstavce
Ctrl + Arrow Up	Ctrl + šipka nahoru
Select to beginning of paragraph	Vybrat od začátku odstavce
Ctrl + Shift + Arrow Up	Ctrl + Shift + šipka nahoru
Move cursor down one line	Přesunout kurzor o jeden řádek dolů
Arrow Down	Šipka dolů
Select lines in downwards direction	Vybrat řádky směrem dolů
Shift + Arrow Down	Shift + šipka dolů
Move cursor to beginning of the next paragraph	Přesunout kurzor na začátek následujícího odstavce
Ctrl + Arrow Down	Ctrl + šipka dolů
Select to end of paragraph	Vybrat do konce odstavce
Ctrl + Shift + Arrow Down	Ctrl + Shift + šipka dolů
Go to beginning of line	Přejít na začátek řádku
Home	Home
Go and select to the beginning of a line	Přejít na začátek řádku a vybrat při tom text
Shift + Home	Shift + Home
Go to start of document	Přejít na začátek dokumentu
Ctrl + Home	Ctrl + Home
Go and select text to start of document	Přejít na začátek dokumentu a vybrat při tom text
Ctrl + Shift + Home	Ctrl + Shift + Home
Go to end of line	Přejít na konec řádku
End	End
Go and select to the end of a line	Přejít na konec řádku a vybrat při tom text
Shift + End	Shift + End
Go to end of document	Přejít na konec dokumentu
Ctrl + End	Ctrl + End
Go and select text to end of document	Přejít na konec dokumentu a vybrat při tom text
Ctrl + Shift + End	Ctrl + Shift + End
Move the view up one page	Posunout zobrazení o jednu stránku nahoru
PageUp	PageUp
Switch cursor between text and header	Přepnout kurzor mezi textem a záhlavím
Ctrl + PageUp	Ctrl + PageUp
Extend the selection up one page	Rozšířit výběr o jednu stránku
Shift + PageUp	Shift + PageUp
Move the view down one page	Posunout zobrazení o jednu stránku dolů
PageDown	PageDown
Switch cursor between text and footer	Přepnout kurzor mezi textem a zápatím
Ctrl + PageDown	Ctrl + PageDown
Extend the selection down one page	Rozšířit výběr o jednu stránku dolů
Shift + PageDown	Shift + PageDown
Delete to beginning of word	Smazat od začátku slova
Ctrl + Backspace	Ctrl + Backspace
Delete to end of word	Smazat do konce slova
Ctrl + Del	Ctrl + Del
Delete to beginning of sentence	Smazat od začátku věty
Ctrl + Shift + Backspace	Ctrl + Shift + Backspace
Delete to end of sentence	Smazat do konce věty
Ctrl + Shift + Del	Ctrl + Shift + Del
Shortcut Keys for Tables	Klávesové zkratky pro tabulky
If the active cell is empty: selects the whole table. Otherwise: selects the contents of the active cell. Pressing again selects the entire table.	Je-li aktuální buňka prázdná: vybere celou tabulku. Pokud prázdná není: vybere obsah aktuální buňky. Opětovné stisknutí těchto kláves vybere celou tabulku.
If the active cell is empty: goes to the beginning of the table. Otherwise: first press goes to beginning of the active cell, second press goes to beginning of the current table, third press goes to beginning of document.	Je-li aktuální buňka prázdná: přemístí kurzor na začátek tabulky. Pokud prázdná není: prvním stisknutí těchto kláves přemístí kurzor na začátek aktuální buňky, druhé jej přemístí na začátek aktuální tabulky a třetí jej přemístí na začátek dokumentu.
If the active cell is empty: goes to the end of the table. Otherwise: first press goes to the end of the active cell, second press goes to the end of the current table, third press goes to the end of the document.	Je-li aktuální buňka prázdná: přemístí kurzor na konec tabulky. Pokud prázdná není: prvním stisknutí těchto kláves přemístí kurzor na konec aktuální buňky, druhé jej přemístí na konec aktuální tabulky a třetí jej přemístí na konec dokumentu.
Ctrl + Tab	Ctrl + Tab
Inserts a tab stop (only in tables). Depending on the Window Manager in use, Alt + Tab may be used instead.	Vloží krok tabulátoru (pouze v tabulkách). V závislosti na použití správce oken lze místo této zkratky použít Alt + Tab.
Alt + Arrow Keys	Alt + šipky
Increases/decreases the size of the column/row on the right/bottom cell edge	Zvětší/zmenší velikost sloupce/řádku na pravém/dolním okraji buňky
Alt + Shift + Arrow Keys	Alt + Shift + šipky
Increase/decrease the size of the column/row on the left/top cell edge	Zvětší/zmenší velikost sloupce/řádku na levém/horním okraji buňky
Alt + Ctrl + Arrow Keys	Alt + Ctrl + šipky
Like Alt, but only the active cell is modified	Jako s klávesou Alt, ale změní se pouze aktivní buňka
Ctrl + Alt + Shift + Arrow Keys	Ctrl + Alt + Shift + šipky
Alt + Insert	Alt + Insert
3 seconds in Insert mode, Arrow Key inserts row/column, Ctrl + Arrow Key inserts cell	3 sekundy v režimu vkládání, klávesa šipky vloží řádek/sloupec, Ctrl + klávesa šipky vloží buňku
Alt + Del	Alt + Del
3 seconds in Delete mode, Arrow key deletes row/column, Ctrl + Arrow key merges cell with neighboring cell	3 sekundy v režimu mazání, klávesa šipky smaže řádek/sloupec, Ctrl + klávesa šipky sloučí buňku se sousední buňkou
Shift + Ctrl + Del	Shift + Ctrl + Del
If no whole cell is selected, the text from the cursor to the end of the current sentence is deleted. If the cursor is at the end of a cell, and no whole cell is selected, the contents of the next cell are deleted.	Není-li vybrána celá buňka, smaže se text od kurzoru do konce aktuální věty. Pokud je kurzor na konci buňky a není označena celá buňka, smaže se obsah následující buňky.
If no whole cell is selected and the cursor is at the end of the table, the paragraph following the table will be deleted, unless it is the last paragraph in the document.	Není-li vybrána celá buňka a kurzor je na konci tabulky, smaže se odstavec následující za tabulkou, pokud se nebude jednat o poslední odstavec dokumentu.
If one or more cells are selected, the whole rows containing the selection will be deleted. If all rows are selected completely or partially, the entire table will be deleted.	Pokud je vybrána jedna či více buněk, smaže se celý řádek s danými buňkami. Pokud jsou úplně či částečně vybrány všechny řádky, smaže se celá tabulka.
Word processor functions	Funkce textového editoru
Insert footnote	Vložit poznámku pod čarou
Ctrl + Alt + F	Ctrl + Alt + F
Insert endnote	Vložit vysvětlivku
Ctrl + Alt + D	Ctrl + Alt + D
Insert comment	Vložit komentář
Ctrl + Alt + C	Ctrl + Alt + C
Insert soft hyphen	Vložit volitelné rozdělení
Ctrl + -	Ctrl + -
Insert non-breaking hyphen	Vložit nezlomitelný spojovník
Ctrl + Shift + -	Ctrl + Shift + -
Insert non-breaking space	Vložit nezlomitelnou mezeru
Ctrl + Shift + Space	Ctrl + Shift + Space
Insert line break	Vložit zalomení řádku
Shift + Enter	Shift + Enter
Manual page break	Ruční zalomení stránky
Ctrl + Enter	Ctrl + Enter
Column break (in multicolumnar text)	Zalomení sloupce (v textu s více sloupci)
Ctrl + Shift + Enter	Ctrl + Shift + Enter
Insert new paragraph directly before or after a section, or before a table	Vložit nový odstavec přímo před či za sekci nebo před tabulku
Alt + Enter	Alt + Enter
Insert new paragraph without numbering inside a list. Does not work when the cursor is at the end of the list.	Vložit do seznamu nový odstavec bez číslování. Nefunguje, pokud je kurzor na konci seznamu.
Cell formatting	Formátování buňky
Display comment	Zobrazit komentář
Ctrl + F1	Ctrl + F1
Fill Down	Vyplnit dolů
Set Optimal Column Width	Nastavit optimální šířku sloupce
Two decimal places, thousands separator	Dvě desetinná místa, oddělovač tisíců
Ctrl + Shift + 1	Ctrl + Shift + 1
Standard exponential format	Standardní exponenciální formát
Ctrl + Shift + 2	Ctrl + Shift + 2
Standard date format	Standardní formát data
Ctrl + Shift + 3	Ctrl + Shift + 3
Standard currency format	Standardní formát měny
Ctrl + Shift + 4	Ctrl + Shift + 4
Standard percentage format (two decimal places)	Standardní formát procent (dvě desetinná místa)
Ctrl + Shift + 5	Ctrl + Shift + 5
Standard format	Standardní formát
Ctrl + Shift + 6	Ctrl + Shift + 6
