"source"	"target"
0	0
0,05	0,05
0,2	0,2
1	1
2	2
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
15	15
16	16
20	20
25	25
50	50
60	60
75	75
100	100
500	500
1000	1000
1800	1800
" "	" "
"  Insert the result into the variable cell?"	"  Inserir o resultado na célula variável?"
" - %PRODUCTNAME Base"	" - %PRODUCTNAME Base"
" - %PRODUCTNAME Base Report"	" - Relatório %PRODUCTNAME Base"
" - %PRODUCTNAME Base: Query Design"	" - %PRODUCTNAME Base: Edição de consulta"
" - %PRODUCTNAME Base: Relation design"	" - %PRODUCTNAME Base: Edição de relação"
" - %PRODUCTNAME Base: Table Design"	" - %PRODUCTNAME Base: Edição de tabela"
" - %PRODUCTNAME Base: View Design"	" - %PRODUCTNAME Base: Editor de exibição"
" (Date)"	" (Data)"
" (Drawing)"	" (Desenho)"
" (Handout)"	" (Folheto)"
" (Notes)"	" (Notas)"
" (Outline)"	" (Estrutura de tópicos)"
" (read-only)"	" (somente-leitura)"
" (Remote)"	" (Remoto)"
" (repaired document)"	" (documento reparado)"
" (shared)"	" (compartilhado)"
" (Signed)"	" (Assinado)"
" (Template: "	" (Modelo: "
" (Time)"	" (Hora)"
" & "" of "" & #PAGECOUNT#"	" & "" de "" & #PAGECOUNT#"
" >= "	" >= "
" 1st Numbering Level"	" 1º Nível da numeração"
" 1st Outline Level"	" 1º Nível da estrutura de tópicos"
" 2nd Numbering Level"	" 2º Nível da numeração"
" 2nd Outline Level"	" 2º Nível da estrutura de tópicos"
" 3rd Numbering Level"	" 3º Nível da numeração"
" 3rd Outline Level"	" 3º Nível da estrutura de tópicos"
" 4th Numbering Level"	" 4º Nível da numeração"
" 4th Outline Level"	" 4º Nível da estrutura de tópicos"
" 5th Numbering Level"	" 5º Nível da numeração"
" 5th Outline Level"	" 5º Nível da estrutura de tópicos"
" 6th Numbering Level"	" 6º Nível da numeração"
" 6th Outline Level"	" 6º Nível da estrutura de tópicos"
" 7th Numbering Level"	" 7º Nível da numeração"
" 7th Outline Level"	" 7º Nível da estrutura de tópicos"
" 8th Numbering Level"	" 8º Nível da numeração"
" 8th Outline Level"	" 8º Nível da estrutura de tópicos"
" 9th Numbering Level"	" 9º Nível da numeração"
" 9th Outline Level"	" 9º Nível da estrutura de tópicos"
" AutoPilot"	" Assistente"
" Certificate Information"	" Informações sobre o certificado"
" degree(s)"	" grau(s)"
" degrees"	" graus"
" Do you want to unlink the image in order to edit it?"	"Deseja desvincular a imagem para edita-la?"
" not yet matched "	" ainda não correspondente "
" Object with the same name already exists."	" Já existe um objeto com o mesmo nome."
" Options"	" Opções"
" Slide"	" Slide"
" Slides"	" Slides"
" Spacing: Condensed By: "	" Espaçamento - condensado de: "
" Spacing: Condensed By: 1.5 pt"	" Espaçamento: Condensar de: 1,5 pt"
" Spacing: Condensed By: 3 pt"	" Espaçamento: Condensar de: 3 pt"
" Spacing: Expanded By: "	" Espaçamento - estendido de: "
" Spacing: Expanded By: 3 pt"	" Espaçamento: Expandido de: 3 pt"
" Spacing: Expanded By: 6 pt"	" Espaçamento: Expandido de:  6 pt"
" Spacing: Normal"	" Espaçamento - normal"
" Y: %1 M: %2 D: %3 H: %4 M: %5 S: %6"	" A: %1 M: %2 D: %3 H: %4 M: %5 S: %6"
" You do not have permission to create this object."	" Você não tem permissão para criar esse objeto."
" You do not have permission to delete this object."	" Você não tem permissão para excluir esse objeto."
" You do not have permission to rename this object."	" Você não tem permissão para renomear esse objeto."
"-"	"-"
"- all -"	"- todas -"
"- entire sheet -"	"- planilha inteira -"
"- move to end position -"	"- mover para a posição final -"
"- multiple -"	"- múltiplo -"
"- new document -"	"- novo documento -"
"- new sheet -"	"- nova planilha -"
"- next item -"	"- próximo item -"
"- none -"	"- nenhum -"
"- None -"	"- Nenhum -"
"- none -"	"- nenhuma -"
"- not set -"	"- não definido -"
"- previous item -"	"- item anterior -"
"- selection -"	"- seleção -"
"- Sign"	"Sinal de -"
"- undefined -"	"- indefinido -"
"- user defined -"	"- definidas pelo usuário -"
"- user defined -"	"- definido pelo usuário -"
"--"	"--"
"---"	"---"
"--------"	"--------"
"-+"	"-+"
"-+ Sign"	"Sinal de -+"
"->"	"->"
", Type: %1, URL: %2"	", Tipo: %1, URL: %2"
";"	";"
";	59	,	44	:	58	{Tab}	9	{Space}	32"	";	59	,	44	:	58	{Tab}	9	{Space}	32"
":"	":"
": "	": "
"!"	"!"
"!!"	"!!"
"!?"	"!?"
"!2"	"!2"
"?"	"?"
"?2"	"?2"
". Bottom: "	". Embaixo: "
". Outer: "	"Exterior: "
". Right: "	"Direita: "
". Top: "	". Em cima: "
"..."	"..."
"…"	"…"
"..."	"Atribuir estilos"
"… defines the amount of information to store in the public library. Each individual stores knowledge there and asks for information."	"... define a quantidade de informações a armazenar na biblioteca pública. Cada indivíduo armazena seu conhecimento ali e pergunta por mais informações."
"… defines the number of individuals to participate in the learning process. Each individual finds its own solutions and contributes to the overall knowledge."	"... define o número de indivíduos que participam do processo de aprendizagem. Cada indivíduo descobre suas próprias soluções e contribui para o conhecimento global."
"… defines the number of iterations, the algorithm should take. In each iteration, all individuals make a guess on the best solution and share their knowledge."	"... define o número de iterações que o algoritmo deve utilizar. Em cada iteração, todos os indivíduos sugerem a melhor solução e compartilham seus conhecimentos."
"… defines the probability of the individual being combined with the globally best point. If crossover is not used, the point is assembled from the own memory of the individual."	"... define a probabilidade de um indivíduo ser combinado com o melhor ponto globalmente. Se o cruzamento não for utilizado, o ponto é calculado da própria memória do indivíduo."
"… defines the probability, that instead of moving a component of the particle towards the best point, it randomly chooses a new value from the valid range for that variable."	".. define a probabilidade de, ao invés de mover um componente da partícula de encontro ao ponto ótimo, o algoritmo escolhe aleatoriamente um novo valor no intervalo válido para esta variável."
"… defines the speed at which the particles/individuals move towards each other."	"... define a velocidade na qual as partículas/indivíduos se juntam."
"… sets the importance of the global best point between all particles/individuals."	".. define a importância do melhor ponto global entre todas as partículas/indivíduos."
"… sets the importance of the own memory (in particular the best reached point so far)."	"... define a importância de sua própria memória (em particular, o melhor ponto alcançado até o momento)."
"........"	"........"
"'"	"'"
"'(' expected"	"Falta '('"
"')' expected"	"Falta ')'"
"'{' expected"	"Falta '{'"
"'}' expected"	"Falta '}'"
"'#' expected"	"Falta '#'"
"'<1>' is not a directory!"	"'<1>' não é um diretório!"
"'A', 'Z'"	"'A' ou 'Z'"
"'B', '.'"	"'B' ou  '.'"
